Barcode,Physical Location,Title,Enumeration,Content Type,Filename,Date published,Notes
<dc:identifier>?,<dc:description>,<dc:title>,,<dc:type>,<dc:identifier>,<dc:date.issued>,
123456 (if we have),Cushing,Texas Aggie,v.1:no.1,Text,123456.pdf (DISC to fill in),"YYYY-MM-DD, 1921-05-15",remove before exporting for metadata use
,Cushing,Texas Aggie,v.12:no.41,Text,,1943-03-08,2 copies
,Cushing,Texas Aggie,v.12:no.42,Text,,1943-03-19,2 copies
,Cushing,Texas Aggie,v.12:no.43,Text,,1943-04-15,2 copies
,Cushing,Texas Aggie,v.12:no.44,Text,,1943-05-05,
,Cushing,Texas Aggie,v.12:no.45,Text,,1943-05-27,2 copies
,,Texas Aggie,v.12:no.46,Text,,1943-06-01,"need, apprx. date"
,Cushing,Texas Aggie,v.12:no.47,Text,,1943-07-01,3 copies
,Cushing,Texas Aggie,v.12:no.48,Text,,1943-07-15,
,Cushing,Texas Aggie,v.12:no.49,Text,,1943-08-13,
,Cushing,Texas Aggie,v.10:no.50,Text,,1943-09-03,2 copies
,Cushing,Texas Aggie,v.12:no.51,Text,,1943-09-17,2 copies
,Cushing,Texas Aggie,v.12:no.52,Text,,1943-10-02,
,Cushing,Texas Aggie,v.12:no.53,Text,,1943-10-15,
,Cushing,Texas Aggie,v.12:no.54,Text,,1943-11-01,
,,Texas Aggie,v.12:no.55,Text,,1943-11-15,"need, apprx. date"
,Cushing,Texas Aggie,v.12:no.56,Text,,1943-12-01,
,Cushing,Texas Aggie,v.12:no.57,Text,,1943-12-15,
,Cushing,Texas Aggie,v.12:no.58,Text,,1944-01-01,
,Cushing,Texas Aggie,v.12:no.59,Text,,1944-01-20,
,Cushing,Texas Aggie,v.12:no.60,Text,,1944-02-01,
,Cushing,Texas Aggie,v.12:no.61,Text,,1944-02-15,
,Cushing,Texas Aggie,v.12:no.62,Text,,1944-03-02,2 copies
,Cushing,Texas Aggie,v.12:no.63,Text,,1944-03-17,2 copies
,Cushing,Texas Aggie,v.12:no.64,Text,,1944-04-05,
,Cushing,Texas Aggie,v.12:no.65,Text,,1944-04-17,
,Cushing,Texas Aggie,v.12:no.66,Text,,1944-04-28,
,Cushing,Texas Aggie,v.12:no.67,Text,,1944-05-12,
,Cushing,Texas Aggie,v.12:no.68,Text,,1944-06-05,
,Cushing,Texas Aggie,v.12:no.69,Text,,1944-06-17,
,Cushing,Texas Aggie,v.12:no.70,Text,,1944-06-26,2 copies
,Cushing,Texas Aggie,v.12:no.71,Text,,1944-07-10,
,Cushing,Texas Aggie,v.12:no.72,Text,,1944-08-05,2 copies
,Cushing,Texas Aggie,v.12:no.73,Text,,1944-09-04,2 copies
,Cushing,Texas Aggie,v.12:no.74,Text,,1944-09-22,2 copies
,Cushing,Texas Aggie,v.12:no.75,Text,,1944-10-06,2 copies
,Cushing,Texas Aggie,v.12:no.76,Text,,1944-10-23,2 copies
,Cushing,Texas Aggie,v.12:no.77,Text,,1944-11-02,2 copies
,Cushing,Texas Aggie,v.12:no.78,Text,,1944-11-15,2 copies
,Cushing,Texas Aggie,v.12:no.79,Text,,1944-12-04,2 copies
,Cushing,Texas Aggie,v.12:no.80,Text,,1944-12-15,2 copies
,Cushing,Texas Aggie,v.12:no.81,Text,,1944-01-15,
,Cushing,Texas Aggie,v.12:no.82,Text,,1944-02-01,2 copies
,Cushing,Texas Aggie,v.12:no.83,Text,,1944-02-13,
,Cushing,Texas Aggie,v.12:no.84,Text,,1945-03-05,2 copies
,Cushing,Texas Aggie,v.12:no.85,Text,,1945-03-19,2 copies
,Cushing,Texas Aggie,v.12:no.86,Text,,1945-04-02,2 copies
,Cushing,Texas Aggie,v.12:no.87,Text,,1945-04-18,
,Cushing,Texas Aggie,v.12:no.88,Text,,1945-05-07,2 copies
,Cushing,Texas Aggie,v.12:no.89,Text,,1945-05-31,2 copies
,Cushing,Texas Aggie,v.12:no.90,Text,,1945-06-11,2 copies
,Cushing,Texas Aggie,v.12:no.91,Text,,1945-07-02,
,Cushing,Texas Aggie,v.12:no.92,Text,,1945-08-01,
,Cushing,Texas Aggie,v.12:no.93,Text,,1945-09-01,
,Cushing,Texas Aggie,v.12:no.94,Text,,1945-09-10,2 copies
,Cushing,Texas Aggie,v.12:no.95,Text,,1945-10-01,2 copies
,Cushing,Texas Aggie,v.12:no.96,Text,,1945-10-15,2 copies
,Cushing,Texas Aggie,v.12:no.97,Text,,1945-11-01,2 copies
,Cushing,Texas Aggie,v.12:no.98,Text,,1945-11-12,
,Cushing,Texas Aggie,v.12:no.99,Text,,1945-12-01,2 copies
,Cushing,Texas Aggie,v.12:no.100,Text,,1945-12-17,
,Cushing,Texas Aggie,v.13:no.1,Text,,1946-01-15,
,Cushing,Texas Aggie,v.13:no.2,Text,,1946-02-01,
,Cushing,Texas Aggie,v.13:no.3,Text,,1946-02-15,2 copies
,Cushing,Texas Aggie,v.13:no.4,Text,,1946-03-06,2 copies
,Cushing,Texas Aggie,v.13:no.5,Text,,1946-03-15,2 copies
,Cushing,Texas Aggie,v.13:no.6,Text,,1946-04-01,2 copies
,Cushing,Texas Aggie,v.13:no.7,Text,,1946-05-01,2 copies
,Cushing,Texas Aggie,v.13:no.8,Text,,1946-05-15,2 copies
,Cushing,Texas Aggie,v.13:no.9,Text,,1946-06-05,2 copies
,Cushing,Texas Aggie,v.13:no.10,Text,,1946-06-24,2 copies. 1 marked as no. 9 in pencil
,Cushing,Texas Aggie,v.13:no.11,Text,,1946-07-19,2 copies. 1 marked as no. 10 in pencil
,Cushing,Texas Aggie,v.13:no.12,Text,,1946-08-15,marked as no.11 in pencil?
,Cushing,Texas Aggie,v.13:no.12,Text,,1946-09-06,"2 copies. printed as no. 12, different date"
,Cushing,Texas Aggie,v.13:no.13,Text,,1946-09-20,
,Cushing,Texas Aggie,v.13:no.14,Text,,1946-10-01,
,Cushing,Texas Aggie,v.13:no.15,Text,,1946-10-17,
,Cushing,Texas Aggie,v.13:no.16,Text,,1946-11-05,
,Cushing,Texas Aggie,v.13:no.17,Text,,1946-11-22,2 copies
,Cushing,Texas Aggie,v.13:no.18,Text,,1946-12-09,2 copies. end of box 2
,Cushing,Texas Aggie,v.13:no.19,Text,,1947-01-04,2 copies. start box 3.
,Cushing,Texas Aggie,v.13:no.20,Text,,1947-01-25,3 copies
,Cushing,Texas Aggie,v.13:no.21,Text,,1947-02-12,2 copies
,Cushing,Texas Aggie,v.13:no.22,Text,,1947-03-10,
,Cushing,Texas Aggie,v.13:no.23,Text,,1947-04-01,2 copies
